# Goblin Training Data
# This is the training data for the Goblin.
# Goblins determine their attack based on the attack and defence of a weapon.
# Goblins are 25% weaker than the player, hence the 0.75.

# 1. Attack, 2. Defence, 3. Output
# Output = (Attack + Defence) * 0.75
0, 0, 0.00
0, 10, 7.50
0, 20, 15.00
0, 30, 22.50
0, 40, 30.00
0, 50, 37.50
0, 60, 45.00
0, 70, 52.50
0, 80, 60.00
0, 90, 67.50
0, 100, 75.00
10, 0, 7.50
10, 10, 15.00
10, 20, 22.50
10, 30, 30.00
10, 40, 37.50
10, 50, 45.00
10, 60, 52.50
10, 70, 60.00
10, 80, 67.50
10, 90, 75.00
10, 100, 82.50
20, 0, 15.00
20, 10, 22.50
20, 20, 30.00
20, 30, 37.50
20, 40, 45.00
20, 50, 52.50
20, 60, 60.00
20, 70, 67.50
20, 80, 75.00
20, 90, 82.50
20, 100, 90.00
30, 0, 22.50
30, 10, 30.00
30, 20, 37.50
30, 30, 45.00
30, 40, 52.50
30, 50, 60.00
30, 60, 67.50
30, 70, 75.00
30, 80, 82.50
30, 90, 90.00
30, 100, 97.50
40, 0, 30.00
40, 10, 37.50
40, 20, 45.00
40, 30, 52.50
40, 40, 60.00
40, 50, 67.50
40, 60, 75.00
40, 70, 82.50
40, 80, 90.00
40, 90, 97.50
40, 100, 105.00
50, 0, 37.50
50, 10, 45.00
50, 20, 52.50
50, 30, 60.00
50, 40, 67.50
50, 50, 75.00
50, 60, 82.50
50, 70, 90.00
50, 80, 97.50
50, 90, 105.00
50, 100, 112.50
60, 0, 45.00
60, 10, 52.50
60, 20, 60.00
60, 30, 67.50
60, 40, 75.00
60, 50, 82.50
60, 60, 90.00
60, 70, 97.50
60, 80, 105.00
60, 90, 112.50
60, 100, 120.00
70, 0, 52.50
70, 10, 60.00
70, 20, 67.50
70, 30, 75.00
70, 40, 82.50
70, 50, 90.00
70, 60, 97.50
70, 70, 105.00
70, 80, 112.50
70, 90, 120.00
70, 100, 127.50
80, 0, 60.00
80, 10, 67.50
80, 20, 75.00
80, 30, 82.50
80, 40, 90.00
80, 50, 97.50
80, 60, 105.00
80, 70, 112.50
80, 80, 120.00
80, 90, 127.50
80, 100, 135.00
90, 0, 67.50
90, 10, 75.00
90, 20, 82.50
90, 30, 90.00
90, 40, 97.50
90, 50, 105.00
90, 60, 112.50
90, 70, 120.00
90, 80, 127.50
90, 90, 135.00
90, 100, 142.50
100, 0, 75.00
100, 10, 82.50
100, 20, 90.00
100, 30, 97.50
100, 40, 105.00
100, 50, 112.50
100, 60, 120.00
100, 70, 127.50
100, 80, 135.00
100, 90, 142.50
100, 100, 150.00
