# Troll Training Data
# This is the training data for the Troll.
# Troll determine their punch and kick values,
# based on the attack and sharpness of a weapon.

# 1. Attack, 2. Sharp, 3. Output Punch, 4. Output Kick
# OutputPunch = (Attack * (Sharp ? 0.2 : 0.3))
# OutputKick = (Attack * 0.3) * (Sharp ? 1.25 : 1)
0, 0, 0.00, 0.00
0, 1, 0.00, 0.00
2, 0, 0.60, 0.60
2, 1, 0.40, 0.75
4, 0, 1.20, 1.20
4, 1, 0.80, 1.50
6, 0, 1.80, 1.80
6, 1, 1.20, 2.25
8, 0, 2.40, 2.40
8, 1, 1.60, 3.00
10, 0, 3.00, 3.00
10, 1, 2.00, 3.75
12, 0, 3.60, 3.60
12, 1, 2.40, 4.50
14, 0, 4.20, 4.20
14, 1, 2.80, 5.25
16, 0, 4.80, 4.80
16, 1, 3.20, 6.00
18, 0, 5.40, 5.40
18, 1, 3.60, 6.75
20, 0, 6.00, 6.00
20, 1, 4.00, 7.50
22, 0, 6.60, 6.60
22, 1, 4.40, 8.25
24, 0, 7.20, 7.20
24, 1, 4.80, 9.00
26, 0, 7.80, 7.80
26, 1, 5.20, 9.75
28, 0, 8.40, 8.40
28, 1, 5.60, 10.50
30, 0, 9.00, 9.00
30, 1, 6.00, 11.25
32, 0, 9.60, 9.60
32, 1, 6.40, 12.00
34, 0, 10.20, 10.20
34, 1, 6.80, 12.75
36, 0, 10.80, 10.80
36, 1, 7.20, 13.50
38, 0, 11.40, 11.40
38, 1, 7.60, 14.25
40, 0, 12.00, 12.00
40, 1, 8.00, 15.00
42, 0, 12.60, 12.60
42, 1, 8.40, 15.75
44, 0, 13.20, 13.20
44, 1, 8.80, 16.50
46, 0, 13.80, 13.80
46, 1, 9.20, 17.25
48, 0, 14.40, 14.40
48, 1, 9.60, 18.00
50, 0, 15.00, 15.00
50, 1, 10.00, 18.75
52, 0, 15.60, 15.60
52, 1, 10.40, 19.50
54, 0, 16.20, 16.20
54, 1, 10.80, 20.25
56, 0, 16.80, 16.80
56, 1, 11.20, 21.00
58, 0, 17.40, 17.40
58, 1, 11.60, 21.75
60, 0, 18.00, 18.00
60, 1, 12.00, 22.50
62, 0, 18.60, 18.60
62, 1, 12.40, 23.25
64, 0, 19.20, 19.20
64, 1, 12.80, 24.00
66, 0, 19.80, 19.80
66, 1, 13.20, 24.75
68, 0, 20.40, 20.40
68, 1, 13.60, 25.50
70, 0, 21.00, 21.00
70, 1, 14.00, 26.25
72, 0, 21.60, 21.60
72, 1, 14.40, 27.00
74, 0, 22.20, 22.20
74, 1, 14.80, 27.75
76, 0, 22.80, 22.80
76, 1, 15.20, 28.50
78, 0, 23.40, 23.40
78, 1, 15.60, 29.25
80, 0, 24.00, 24.00
80, 1, 16.00, 30.00
82, 0, 24.60, 24.60
82, 1, 16.40, 30.75
84, 0, 25.20, 25.20
84, 1, 16.80, 31.50
86, 0, 25.80, 25.80
86, 1, 17.20, 32.25
88, 0, 26.40, 26.40
88, 1, 17.60, 33.00
90, 0, 27.00, 27.00
90, 1, 18.00, 33.75
92, 0, 27.60, 27.60
92, 1, 18.40, 34.50
94, 0, 28.20, 28.20
94, 1, 18.80, 35.25
96, 0, 28.80, 28.80
96, 1, 19.20, 36.00
98, 0, 29.40, 29.40
98, 1, 19.60, 36.75
100, 0, 30.00, 30.00
100, 1, 20.00, 37.50
